"","X","Name","position","AB","R","HR","RBI","SB","AVG","adjusted_points","dollar_value"
"1",11,"Mike Trout","outfield",572,109,31,93,21,0.297,18.33,62.01
"2",202,"Miguel Cabrera","third_base",566,96,32,105,2,0.317,16.3,55.35
"3",482,"Giancarlo Stanton","outfield",544,95,41,104,7,0.278,15.59,53.05
"4",222,"Jose Bautista","outfield",544,99,36,99,5,0.267,15.41,52.46
"5",852,"Andrew McCutchen","outfield",556,90,23,86,16,0.301,13.48,46.14
"6",160,"Yasiel Puig","outfield",541,87,22,74,13,0.294,12.41,42.64
"7",359,"Troy Tulowitzki","shortstop",523,85,28,92,3,0.303,11.61,39.99
"8",791,"Buster Posey","catcher",503,69,19,74,1,0.299,11.6,39.99
"9",607,"Adrian Beltre","third_base",576,82,24,94,1,0.297,11.48,39.59
"10",249,"Edwin Encarnacion","first_base",549,91,35,101,4,0.268,11.08,38.26
"11",797,"Paul Goldschmidt","first_base",554,89,31,92,11,0.283,10.85,37.51
"12",132,"Anthony Rendon","third_base",573,85,19,71,11,0.279,10.78,37.29
