"","Name","position","playerid","IP","ERA","WHIP","SV","W","K","adjusted_points","dollar_value"
"435","Nick Kingham","pitcher","sa548285",19,4.31,1.36,0,1,13,-4.22,-11.88
"228","Chasen Shreve","pitcher","10855",10,3.73,1.28,0,1,10,-4.22,-11.88
"476","Tommy Kahnle","pitcher","11384",20,4.44,1.46,0,1,19,-4.22,-11.88
"518","Zach Lee","pitcher","sa548182",19,4.44,1.34,0,1,13,-4.22,-11.88
"265","Edwin Escobar","pitcher","10337",10,3.73,1.25,0,1,9,-4.22,-11.89
"197","Joseph Donofrio","pitcher","sa658836",10,3.52,1.29,0,1,9,-4.22,-11.9
"601","Bryan Mitchell","pitcher","11479",39,5.19,1.54,0,2,29,-4.23,-11.91
"603","Nick Martinez","pitcher","12730",37,5.16,1.5,0,2,23,-4.24,-11.93
"263","Rafael Perez","pitcher","4078",10,3.77,1.24,0,1,8,-4.24,-11.94
"297","Liam Hendriks","pitcher","3548",10,4.04,1.22,0,1,8,-4.25,-11.98
"337","Brian Schlitter","pitcher","3599",15,3.96,1.37,0,1,10,-4.25,-11.98
"240","Erik Davis","pitcher","8422",10,3.77,1.31,0,1,9,-4.25,-11.99
"387","Preston Guilmet","pitcher","7303",10,4.16,1.26,0,1,9,-4.26,-12.01
"465","Eduardo Rodriguez","pitcher","sa548722",19,4.37,1.4,0,1,13,-4.26,-12.01
"341","Jeremy Mcbryde","pitcher","sa328275",10,3.82,1.32,0,1,9,-4.26,-12.01
"415","Yohan Pino","pitcher","6955",10,4.04,1.25,0,1,8,-4.27,-12.02
"407","A.J. Achter","pitcher","11387",15,4.33,1.39,0,1,12,-4.27,-12.04
"499","C.J. Riefenhauser","pitcher","11193",15,4.21,1.41,0,1,12,-4.27,-12.04
"233","Tyler Skaggs","pitcher","10190",9,3.83,1.28,0,1,8,-4.28,-12.05
"453","Jared Burton","pitcher","8346",10,3.95,1.29,0,1,8,-4.28,-12.06
"605","Erik Johnson","pitcher","12520",66,5.45,1.57,0,3,44,-4.28,-12.07
"473","Nick Greenwood","pitcher","8182",15,4.19,1.35,0,1,9,-4.29,-12.08
"556","Joe Beimel","pitcher","979",25,4.48,1.45,0,1,16,-4.29,-12.08
"519","Michael Blazek","pitcher","9654",15,4.3,1.44,0,1,13,-4.29,-12.08
"352","Matt Andriese","pitcher","sa577754",10,3.93,1.28,0,1,7,-4.29,-12.1
"560","Roberto Hernandez","pitcher","3273",19,4.61,1.39,0,1,13,-4.29,-12.1
"597","Kyle Ryan","pitcher","11753",29,5.28,1.47,0,2,15,-4.29,-12.1
"445","Spencer Patton","pitcher","12361",10,4.22,1.35,0,1,10,-4.29,-12.1
"521","Michael Mariot","pitcher","10835",15,4.37,1.41,0,1,11,-4.31,-12.16
"471","Jonathan Pettibone","pitcher","7106",19,4.57,1.4,0,1,12,-4.32,-12.16
