"","Name","position","AB","R","HR","RBI","SB","AVG","adjusted_points","dollar_value"
"631","Josmil Pinto","catcher",316,39,10,39,2,0.248,1.85,8.05
"33","Jon Singleton","first_base",501,66,22,67,4,0.214,1.82,7.97
"105","Kennys Vargas","dh",478,60,20,69,1,0.25,1.8,7.9
"207","David DeJesus","outfield",441,56,9,44,6,0.238,1.77,7.8
"600","Alcides Escobar","shortstop",562,60,5,50,23,0.26,1.7,7.58
"737","Kurt Suzuki","catcher",361,39,6,38,1,0.255,1.7,7.58
"762","Kendrys Morales","dh",479,59,16,66,1,0.263,1.7,7.58
"863","Colby Rasmus","outfield",425,52,18,56,3,0.233,1.7,7.57
"128","Mark Teixeira","first_base",472,63,23,69,2,0.223,1.68,7.5
"102","Joe Panik","second_base",547,56,5,47,5,0.255,1.59,7.21
"858","DJ LeMahieu","second_base",488,51,5,47,14,0.279,1.56,7.1
"247","David Peralta","outfield",427,48,10,49,6,0.27,1.55,7.09
"524","Juan Lagares","outfield",543,53,8,49,12,0.249,1.49,6.88
"787","Khris Davis","outfield",376,48,18,54,4,0.247,1.45,6.74
"490","B.J. Upton","outfield",493,56,15,51,17,0.215,1.44,6.72
"61","Josh Rutledge","second_base",493,56,9,50,9,0.241,1.43,6.68
"547","Jarrod Saltalamacchia","catcher",378,41,13,45,2,0.22,1.39,6.56
"315","Gregor Blanco","outfield",484,54,5,43,17,0.249,1.37,6.49
"57","Kevin Kiermaier","outfield",446,52,9,48,13,0.248,1.34,6.4
"778","Conor Gillaspie","third_base",441,51,11,52,2,0.252,1.32,6.33
"399","Emilio Bonifacio","outfield",472,55,4,39,29,0.245,1.3,6.25
"727","Everth Cabrera","shortstop",495,60,5,38,30,0.25,1.27,6.15
"585","Casey McGehee","third_base",500,52,8,54,3,0.252,1.2,5.93
"560","Wilmer Flores","third_base",477,49,15,56,2,0.248,1.17,5.82
"480","Ender Inciarte","outfield",467,52,5,35,19,0.254,1.16,5.78
"385","Chris Young","outfield",407,52,15,51,10,0.228,1.15,5.75
"614","Jordy Mercer","shortstop",514,55,11,56,5,0.255,1.08,5.53
"844","Christian Vazquez","catcher",314,38,5,34,3,0.248,1.07,5.5
"753","Ike Davis","first_base",430,60,17,59,3,0.239,1.05,5.45
"50","Andrelton Simmons","shortstop",534,55,11,53,7,0.254,1.04,5.39
"334","Alberto Callaspo","third_base",507,51,9,51,3,0.25,1.01,5.31
"364","Rene Rivera","catcher",366,39,9,41,1,0.231,0.99,5.24
"283","Yonder Alonso","first_base",488,56,14,60,7,0.265,0.99,5.23
"115","Kevin Pillar","outfield",399,47,8,47,14,0.266,0.94,5.06
"369","Rajai Davis","outfield",377,48,6,38,28,0.265,0.88,4.89
"17","Jose Iglesias","third_base",465,51,5,45,12,0.257,0.87,4.83
"68","Jonathan Schoop","second_base",466,52,15,53,5,0.226,0.58,3.91
